Video Title,Video Link,View Count,Description,Channel Title,Tag,Duration
Australia v India 2024-25 | Second Test | Day One,https://youtube.com/watch?v=xgiiwsJ7mOk,8489700,"The Border-Gavaskar Trophy moves onto Adelaide with Australia needed to bite back after their first Test humbling to India in Perth.

Download our app for exclusive content: https://app.cricket.com.au/
More #AUSvIND videos: https://www.cricket.com.au/video 
Get our latest Podcast here: https://www.cricket.com.au/podcasts

Follow us on Facebook: https://www.facebook.com/cricketcomau      
Follow us on Instagram: https://www.instagram.com/cricketcomau      
Follow us on X (Twitter): https://www.twitter.com/cricketcomau",cricket.com.au,['ausvind'],PT8M6S
Australia v India 2024-25 | Third Test | Day Four,https://youtube.com/watch?v=MX_GssneLfI,9381804,"The storylines were juicy on Day Four, with redemption arcs, thrilling fightbacks and anticipation building into the final day of the Gabba Test. 

Download our app for exclusive content: https://app.cricket.com.au/
More #AUSvIND videos: https://www.cricket.com.au/video 
Get our latest Podcast here: https://www.cricket.com.au/podcasts

Follow us on Facebook: https://www.facebook.com/cricketcomau      
Follow us on Instagram: https://www.instagram.com/cricketcomau      
Follow us on X (Twitter): https://www.twitter.com/cricketcomau",cricket.com.au,"['cricket', 'cricket australia', 'cricket highlights', 'cricketcomau']",PT8M12S
Australia v India 2024-25 | Third Test | Day Five,https://youtube.com/watch?v=pGvp5Q-1Yag,8827392,"There was no shortage of excitement early on Day Five at the Gabba. 

Download our app for exclusive content: https://app.cricket.com.au/
More #AUSvIND videos: https://www.cricket.com.au/video 
Get our latest Podcast here: https://www.cricket.com.au/podcasts

Follow us on Facebook: https://www.facebook.com/cricketcomau      
Follow us on Instagram: https://www.instagram.com/cricketcomau      
Follow us on X (Twitter): https://www.twitter.com/cricketcomau",cricket.com.au,"['cricket', 'cricket australia', 'cricket highlights', 'cricketcomau']",PT8M15S
Australia v India 2024-25 | First Test | Day One,https://youtube.com/watch?v=pmxfvy3SImg,14018388,"The Border-Gavaskar Trophy series gets underway in Perth with a strong Aussie side ready to host an Indian team with a few fresh faces.

Download our app: https://app.cricket.com.au/
More #AUSvIND videos: https://www.cricket.com.au/video 
Get our latest Podcast here: https://www.cricket.com.au/podcasts
Follow us on Facebook: https://www.facebook.com/cricketcomau      
Follow us on Instagram: https://www.instagram.com/cricketcomau      
Follow us on X (Twitter): https://www.twitter.com/cricketcomau",cricket.com.au,['#ausvind'],PT8M6S
"India claim stunning series win, end Australia's Gabba streak | Vodafone Test Series 2020-21",https://youtube.com/watch?v=wY6UyatwVTA,83700825,"Rishabh Pant was the hero as an injury-ravaged India ended Australia's 32-year undefeated run at the Gabba, executing a record-breaking final day chase to win the Test by three wickets and the series 2-1.

Fixtures, news, videos for the #AUSvIND Tests: https://cricketa.us/AUSvIND-Tests     
Follow us on Facebook: https://www.facebook.com/cricketcomau      
Follow us on Instagram: https://www.instagram.com/cricketcomau      
Follow us on Twitter: https://www.twitter.com/cricketcomau",cricket.com.au,"['Australia', 'India', 'day five', 'fourth Test', 'Gabba', 'highlights', 'Rishabh Pant', 'Cheteshwar Pujara', 'Shubman Gill']",PT8M30S
Australia v India 2024-25 | Second Test | Day Two,https://youtube.com/watch?v=KYEPvfPqmdE,7548755,"A captivating day of Test cricket as Australia continue their fightback in the Border-Gavaskar Trophy series but India are up for the challenge.

Download our app for exclusive content: https://app.cricket.com.au/
More #AUSvIND videos: https://www.cricket.com.au/video 
Get our latest Podcast here: https://www.cricket.com.au/podcasts

Follow us on Facebook: https://www.facebook.com/cricketcomau      
Follow us on Instagram: https://www.instagram.com/cricketcomau      
Follow us on X (Twitter): https://www.twitter.com/cricketcomau",cricket.com.au,['ausvind'],PT8M5S
Australia v India 2024-25 | First Test | Day Two,https://youtube.com/watch?v=4W9YskwfTXE,11661728,"All the action from day two in Perth after a wild opening to the Test that saw wickets tumble on both sides.

Download our app: https://app.cricket.com.au/
More #AUSvIND videos: https://www.cricket.com.au/video 
Get our latest Podcast here: https://www.cricket.com.au/podcasts
Follow us on Facebook: https://www.facebook.com/cricketcomau      
Follow us on Instagram: https://www.instagram.com/cricketcomau      
Follow us on X (Twitter): https://www.twitter.com/cricketcomau",cricket.com.au,['ausvind'],PT8M4S
Australia v India 2024-25 | First Test | Day Four,https://youtube.com/watch?v=aXhDkAhgoCM,12567321,"India are seven wickets away from winning big in the first Test of the 2024-25 Border-Gavaskar Trophy.

Download our app for exclusive content: https://app.cricket.com.au/
More #AUSvIND videos: https://www.cricket.com.au/video 
Get our latest Podcast here: https://www.cricket.com.au/podcasts

Follow us on Facebook: https://www.facebook.com/cricketcomau      
Follow us on Instagram: https://www.instagram.com/cricketcomau      
Follow us on X (Twitter): https://www.twitter.com/cricketcomau",cricket.com.au,['ausvind'],PT8M3S
Karun Nair 300 Highlights🤯 - India Vs Australia BGT #shorts #cricket #viralbreak #shortsfeed,https://youtube.com/watch?v=xmY_BsEYGig,409,,Viral Break (AB Cricinfo Fan Page),[],PT16S
Australia v India 2024-25 | Third Test | Day Three,https://youtube.com/watch?v=wtf0nTrSjAI,5412080,"Rain heavily impacted Day Three at the Gabba, but it was the Australians with all the momentum during play. 

Download our app for exclusive content: https://app.cricket.com.au/
More #AUSvIND videos: https://www.cricket.com.au/video 
Get our latest Podcast here: https://www.cricket.com.au/podcasts

Follow us on Facebook: https://www.facebook.com/cricketcomau      
Follow us on Instagram: https://www.instagram.com/cricketcomau      
Follow us on X (Twitter): https://www.twitter.com/cricketcomau",cricket.com.au,"['cricket', 'cricket australia', 'cricket highlights', 'cricketcomau']",PT5M53S
